"Property Type","Number of Sales","Avg. Bedrooms","Avg. Bathrooms","Min. Bedrooms","Max. Bedrooms","Max. Bathrooms","Min. Bathrooms"
"Lake Front",1281,3.62,2.77,2,4,2,2
"Canal Front",122,3.42,2.17,2,3,2,2
